alim_nom_eng,Culinary Fruit or Vegetable,Botanical fruit,Grows on tree,Grows underground,Water (g/100g),Protein (g/100g),Carbohydrate (g/100g),Fat (g/100g),Sugars (g/100g),fructose (g/100g),galactose (g/100g),glucose (g/100g),lactose (g/100g),maltose (g/100g),sucrose (g/100g),Starch (g/100g),Fibres (g/100g),Polyols (g/100g),Ash (g/100g),Alcohol (g/100g),Organic acids (g/100g),FA saturated (g/100g),FA mono (g/100g),FA poly (g/100g),FA 4:0 (g/100g),FA 6:0 (g/100g),FA 8:0 (g/100g),FA 10:0 (g/100g),FA 12:0 (g/100g),FA 14:0 (g/100g),FA 16:0 (g/100g),FA 18:0 (g/100g),FA 18:1 n-9 cis (g/100g),"FA 18:2 9c,12c (n-6) (g/100g)","FA 18:3 c9,c12,c15 (n-3) (g/100g)","FA 20:4 5c,8c,11c,14c (n-6) (g/100g)","FA 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100g)","FA 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100g)",Cholesterol (mg/100g),Salt (g/100g),Calcium (mg/100g),Chloride (mg/100g),Copper (mg/100g),Iron (mg/100g),Iodine (µg/100g),Magnesium (mg/100g),Manganese (mg/100g),Phosphorus (mg/100g),Potassium (mg/100g),Selenium (µg/100g),Sodium (mg/100g),Zinc (mg/100g),Retinol (µg/100g),Beta-carotene (µg/100g),Vitamin D (µg/100g),Vitamin E (mg/100g),Vitamin K1 (µg/100g),Vitamin K2 (µg/100g),Vitamin C (mg/100g),Vitamin B1 or Thiamin (mg/100g),Vitamin B2 or Riboflavin (mg/100g),Vitamin B3 or Niacin (mg/100g),Vitamin B5 or Pantothenic acid (mg/100g),Vitamin B6 (mg/100g),Vitamin B9 or Folate (µg/100g),Vitamin B12 (µg/100g)
"Avocado, pulp, raw",F,1,1,0,70.3,1.56,0.83,20.6,0.4,0.16,0.073,0.16,0.2,0.2,0.2,0.35,3.6,0.5,3.29,0,1.02,4.51,12.3,2.83,0.01,0.01,0.01,0.01,0.01,0.01,4.37,0.11,8.72,2.68,0.15,0.01,0.01,0.01,0.5,0.015,9.4,20,0.18,0.34,20,21,0.2,38,430,20,6,0.43,0,5,0,2.23,14.5,0,0.5,0.052,0.037,1.56,1.07,0.17,70.4,0
"Swiss chard, raw",V,0,0,0,95.4,1,1.63,0.5,1.2,0.5,0,0.7,0.2,0.2,0.2,0.35,1.8,0.5,1.22,0,0.13,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.57,25,221,0.03,0.85,20,17,0.16,10,300,20,53.2,0.07,0,25.9,0.25,0.25,0.8,0,3.08,0.015,0.015,0.1,0.2,0.036,24.7,0
"Carrot, raw",V,0,0,1,88.1,0.63,7.59,0.5,6,0.9,0,1.1,0.2,0.2,4,0.4,2.7,0.5,0.72,0,0.014,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.11,25,56.8,0.05,0.24,20,10,0.1,22,230,20,43,0.18,0,8290,0,0.27,2.96,0,2.05,0.028,0.01,0.1,0.2,0.093,59.4,0
"Curly endive, raw",V,0,0,0,92.9,1.48,2.4,0.25,0.7,0,0,0,0,0,0,0,2.45,0,1.35,0,0,0.061,0.005,0.11,0,0,0,0,0,0.0035,0.052,0.0025,0.004,0.075,0.013,0,0,0,0,0.084,76,0,0.2,0.85,0.4,22.5,0.42,37.5,367,1,33.5,0.61,0,3430,0,2.26,298,0,18.5,0.07,0.088,0.45,1.03,0.063,126,0
"Red cabbage, raw",V,0,0,0,90.7,1.13,4.33,0.5,3.9,1.4,0,2.2,0.2,0.2,0.3,0.35,2.8,0.5,0.68,0,0.25,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.035,36,32.7,0.02,0.25,20,9.7,0.12,30,260,20,14,0.15,0,5,0,0.08,6.41,0,18.7,0.036,0.01,0.12,0.24,0.14,31.9,0
"Cauliflower, raw",V,0,0,0,92.9,1.81,2.13,0.7,1.7,0.8,0,0.9,0.2,0.2,0.2,0.35,2.2,0.5,0.65,0,0.046,0.24,0.14,0.25,0.01,0.01,0.01,0.01,0.01,0.01,0.18,0.05,0.1,0.08,0.17,0.01,0.01,0.01,0,0.015,23,25.4,0.02,0.27,20,9.8,0.14,40,270,20,6,0.22,0,5,0,0.08,3.31,0,4.14,0.031,0.01,0.26,0.72,0.22,56.2,0
"Cucumber, pulp and peel, raw",V,1,0,0,96,0.64,2.54,0.11,1.67,0.79,0,0.54,0,0.01,0.03,0.83,0.6,0.039,0.39,0,0.26,0.035,0.004,0.038,0,0,0,0,0,0.003,0.028,0.0039,0.003,0.02,0.018,0,0,0,0,0.012,19.2,0,0.026,0.13,0.3,13.6,0.085,24.7,157,10,4.8,0.095,0,45,0,0.09,16.4,0,8.25,0.022,0.025,0.15,0.28,0.037,12.3,0
"Courgette or zucchini, pulp and peel, raw",V,1,0,0,94.7,1.23,1.8,0.26,1.79,0.99,0,0.76,0,0,0.036,0,1.05,0.014,0.59,0,0,0.061,0.013,0.084,0,0,0,0.015,0.0019,0.00095,0.038,0.0047,0.01,0.03,0.055,0,0,0,0,0.023,18.7,0,0.052,0.36,1.64,17.5,0.18,44.7,262,0.58,9,0.31,0,120,0,0.12,4.3,0,17.5,0.047,0.12,0.47,0.18,0.19,36,0
"Chicory, raw",V,0,0,0,94.3,1.19,2.83,0.5,2.4,0.9,0,1.5,0.2,0.2,0.2,0.35,1.1,0.5,0.41,0,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.013,20,40.7,0.04,0.12,20,8.3,0.08,23,150,20,5,0.13,0,5,0,0.08,0.8,0,2.12,0.067,0.01,0.21,0.15,0.026,25.6,0
"Lettuce, raw",V,0,0,0,95.3,1.3,1.33,0.2,0.73,0.4,0,0.33,0,0,0,0,1.2,0,0.59,0,0.13,0.021,0.0067,0.085,0,0,0,0,0,0,0.018,0.0021,0.005,0.023,0.056,0,0,0,0,0.021,64.6,0,0.036,0.98,1.22,14.9,0.4,29.5,200,2.33,8.47,0.2,0,3640,0,0.18,123,0,11.8,0.067,0.077,0.36,0.14,0.09,43.5,0
